Employee Identifier,Salaries,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
50417,32986.3,3298.63,36284.93,7456.93,3827.63,2967.74,14252.3,50537.23
50719,74242.28,7518.21,81760.49,16332.75,8181.56,6728.02,31242.33,113002.82
51155,72415.82,3982.41,76398.23,15113.11,8421.98,6280.82,29815.91,106214.14
53012,122042.91,11854.29,133897.2,25582.78,12918.24,9783.56,48284.58,182181.78
53016,119520.05,11602.01,131122.06,25047.21,12894.32,9735,47676.53,178798.59
5335,122042.9,6519.8,128562.7,24561.53,12918.24,9690.21,47169.98,175732.68
6079,16082.92,0,16082.92,0,0,1278.59,1278.59,17361.51
8854,24768,1362.15,26130.15,5440.3,2870.73,2175.09,10486.12,36616.27
17526,94862.84,0,94862.84,18584.21,12918.24,28442.98,59945.43,154808.27
15529,130201.69,0,130201.69,24874.98,12918.24,22687.46,60480.68,190682.37
16740,131136.09,0,131136.09,25069.52,12918.24,21512,59499.76,190635.85
25230,129650.63,0,129650.63,24777.4,12918.24,22695.12,60390.76,190041.39
37562,130201.68,0,130201.68,24874.98,12918.24,21475.63,59268.85,189470.53
